Date,Amgen Inc. (AMGN),Teva Pharmaceutical Industries Limited (TEVA),Medtronic plc (MDT),Novartis AG (NVS),UnitedHealth Group Incorporated (UNH)
6/30/2016,149.226443,48.987783,85.373901,79.611542,139.473654
6/29/2016,147.215845,49.01704,84.075139,78.328261,138.801975
6/28/2016,145.568119,48.344106,82.786219,76.794112,137.014107
6/27/2016,141.801907,47.329825,81.054535,74.526665,135.433663
6/24/2016,143.635971,48.773223,81.92038,74.391584,135.611455
6/23/2016,149.344147,50.09959,84.38999,77.836175,137.488234
6/22/2016,146.931409,49.924041,82.904291,76.909899,136.213998
6/21/2016,146.548904,49.719235,83.228976,76.668681,136.500461
6/20/2016,147.755265,50.684754,83.110911,75.906432,136.826428
6/17/2016,146.745058,50.723762,82.786219,75.173135,136.006574
6/16/2016,149.373569,50.918816,83.228976,74.188962,136.964715
6/15/2016,148.981246,51.094365,82.874775,73.696875,135.581823
6/14/2016,150.050314,52.050129,84.114496,73.98634,135.567003
6/13/2016,150.138581,51.903841,84.321117,74.613508,135.78333
6/10/2016,151.805912,51.699031,84.321117,76.166951,136.914129
6/9/2016,153.767482,51.991615,84.399831,77.681799,138.330062
6/8/2016,154.964041,52.654799,83.425762,78.530883,138.054741
6/7/2016,155.836939,52.723067,82.372978,78.743156,134.652545
6/6/2016,157.111963,53.337484,81.979413,78.453692,135.842325
6/3/2016,156.131178,52.459744,81.605529,78.106337,134.55421
6/2/2016,156.798105,53.298476,81.65472,77.87477,133.76757
6/1/2016,155.013084,51.601506,79.224461,76.832707,132.282799
5/31/2016,154.914999,50.587225,79.185111,76.716928,131.437163
5/27/2016,153.728258,50.382419,80.375641,77.295849,131.761653
5/26/2016,152.561121,50.31415,79.873845,77.324794,130.758687
5/25/2016,152.580741,50.20687,79.775456,77.093227,131.19134
5/24/2016,149.785497,50.60673,79.637709,75.665214,130.375202
5/23/2016,146.431214,49.953302,79.008007,75.3854,128.241452
5/20/2016,147.294295,50.655493,79.224461,73.127605,128.75277
5/19/2016,145.813315,49.650967,78.712831,72.066248,127.828469
5/18/2016,147.931814,50.445382,79.303175,73.127605,128.329945
5/17/2016,147.225648,49.796288,79.509796,73.050413,127.395817
5/16/2016,150.324932,48.856552,80.572421,72.973222,128.457778
5/13/2016,149.422612,48.730607,79.411406,72.104843,126.845173
5/12/2016,148.98124,48.682167,80.031267,72.249568,127.572818
5/11/2016,150.228433,49.331261,79.804972,72.500437,128.506946
5/10/2016,153.21002,51.220421,79.923044,72.674114,131.338843
5/9/2016,151.42692,51.162295,79.037523,71.88292,130.453868
5/6/2016,149.263816,48.701544,78.457012,70.483859,129.834386
5/5/2016,150.296646,52.18922,78.220875,71.516271,130.09988
5/4/2016,150.228433,52.150471,77.551816,71.718893,129.824559
5/3/2016,152.34283,52.508926,78.161843,73.436363,130.247384
5/2/2016,154.915168,51.821079,78.073287,74.140715,129.893397
4/29/2016,154.24285,52.751125,77.876508,73.301282,129.480399
4/28/2016,156.444922,53.274278,78.496369,74.11177,129.863899
4/27/2016,156.873647,54.475587,78.171677,74.275804,130.581701
4/26/2016,158.676239,53.768364,77.453426,74.188962,131.997649
4/25/2016,159.270605,54.02994,78.112645,73.812663,131.545327
4/22/2016,159.007521,55.270002,77.719079,73.793368,131.889486
4/21/2016,160.137794,55.463763,77.25664,73.60039,130.739032
4/20/2016,158.588534,54.795293,77.414069,73.899497,131.692815
4/19/2016,157.945461,54.892171,76.853241,74.256503,128.320117
4/18/2016,157.555704,53.274278,76.38096,73.619691,125.675049
4/15/2016,156.02595,53.458349,75.859489,72.992523,125.203071
4/14/2016,156.016196,53.991187,76.125149,73.417062,125.842215
4/13/2016,155.957737,53.903995,76.095625,72.799545,125.625889
4/12/2016,154.535164,53.216149,75.387216,72.548683,124.681925
4/11/2016,152.381799,54.175258,74.442663,72.471492,124.219775
4/8/2016,152.450012,54.533716,75.141239,72.577628,123.580631
4/7/2016,153.346431,54.737163,74.914936,72.288164,124.750756
4/6/2016,155.567994,54.959987,76.066109,72.471492,125.891375
4/5/2016,149.029962,52.848004,74.275393,70.049663,124.917914
4/4/2016,150.696142,52.954572,75.072365,70.175101,127.326994
4/1/2016,150.208957,52.518612,74.157328,68.89182,127.749804
3/31/2016,146.087359,51.840452,73.793279,69.895287,126.746838
3/30/2016,145.648895,52.702686,74.206519,70.001423,127.513807
3/29/2016,145.658648,53.235525,74.265559,69.818096,127.661311
3/28/2016,144.567343,52.179534,72.789693,70.561043,126.766508
3/24/2016,145.415056,52.596118,72.779852,70.725077,126.442018
3/23/2016,144.947347,52.363604,73.301323,71.313649,127.621971
3/22/2016,146.759677,53.070827,73.734246,71.776783,125.881548
3/21/2016,143.242199,52.528302,73.626015,71.091726,124.622922
3/18/2016,141.780643,52.392671,74.653904,70.126854,124.60326
3/17/2016,140.436022,51.830765,73.909908,70.705775,122.449839
3/16/2016,140.289857,53.59398,75.035689,70.715426,122.813662
3/15/2016,139.539603,55.347508,75.231474,70.339127,122.764494
3/14/2016,140.913454,57.246354,75.897153,71.149615,123.128316
3/11/2016,140.864747,57.110723,75.720944,71.82503,123.010318
3/10/2016,137.415468,56.170986,74.663688,70.792618,120.050595
3/9/2016,137.288795,56.093484,73.958858,69.875985,119.077134
3/8/2016,140.923207,54.456211,73.851174,69.673363,119.13614
3/7/2016,143.534513,55.037493,74.409169,69.933883,119.234064
3/4/2016,142.238598,53.884619,74.017592,69.663713,119.273235
3/3/2016,142.102187,53.865243,73.342121,70.387366,119.292817
3/2/2016,143.709907,54.533716,73.01907,70.850508,118.754224
3/1/2016,144.586835,54.349642,72.617708,70.28123,119.145928
2/29/2016,138.633431,53.865243,75.760102,68.612006,116.629243
2/26/2016,143.817089,55.202187,75.66221,69.499686,118.812985
2/25/2016,142.988868,55.783468,76.02442,70.030368,118.685677
2/24/2016,143.339642,54.785602,74.820321,69.190928,117.706422
2/23/2016,143.485791,55.344149,74.203592,68.397806,118.636718
2/22/2016,144.752476,55.295996,75.065056,68.936446,118.754224
2/19/2016,146.272492,54.535221,73.792432,68.453525,115.238703
2/18/2016,145.473516,54.949315,73.391071,68.453525,115.013471
2/17/2016,147.198155,55.536748,74.0078,68.397806,115.845844
2/16/2016,143.37861,54.053716,73.165912,68.063478,112.76119
2/12/2016,141.010897,53.687772,71.854137,67.515549,109.500269
2/11/2016,137.834455,52.079548,71.090566,67.051205,108.325167
2/10/2016,140.12422,54.804862,72.598133,67.784869,110.401182
2/9/2016,138.527617,55.536748,71.540877,67.441259,108.853965
2/8/2016,138.37279,54.824123,71.10035,67.961322,107.737608
2/5/2016,140.346773,56.682731,72.89181,69.029314,109.402345
2/4/2016,145.059199,57.684262,74.595162,69.707251,111.830893
2/3/2016,145.813959,58.040574,74.54622,71.053852,110.410977
2/2/2016,145.252725,58.685789,74.898638,70.422344,111.517532
2/1/2016,147.807299,60.380687,75.231474,71.759649,113.485836
