Date,Ford Motor Company (F),Apple Inc. (AAPL),The Procter & Gamble Company (PG),The Coca-Cola Company (KO),Canon Inc. (CAJ)
11/9/2015,13.183175,117.43665,72.427059,39.57772,30.299999
11/6/2015,13.35797,117.913914,72.590354,39.977878,30.459999
11/5/2015,13.403967,117.777553,73.378022,40.330402,30.16
11/4/2015,13.477565,118.322995,74.021603,39.987408,29.84
11/3/2015,13.624761,118.875815,74.012002,40.168431,29.950001
11/2/2015,13.569562,117.527709,73.579741,40.244654,29.99
10/30/2015,13.624761,115.898343,73.368414,40.349454,29.780001
10/29/2015,13.551163,116.897299,73.983179,40.768672,30.120001
10/28/2015,13.771956,115.675272,73.493293,40.711505,30.24
10/27/2015,13.560363,111.097536,74.242537,40.597174,29.1
10/26/2015,14.279818,111.80553,74.434649,40.578119,31.34
10/23/2015,14.270711,115.491004,73.992787,40.768672,31.74
10/22/2015,14.188747,112.018901,71.898742,41.197415,31.84
10/21/2015,14.033928,110.331345,70.68842,40.197013,31.690001
10/20/2015,14.006607,110.341039,70.858444,40.292291,31.040001
10/19/2015,13.988392,108.36253,71.553418,40.006463,31.190001
10/16/2015,13.915536,107.693323,71.305892,40.035045,31.379999
10/15/2015,13.860895,108.488609,70.706119,39.939767,30.99
10/14/2015,13.669647,106.888337,70.649,39.711106,30.48
10/13/2015,13.605897,108.420719,70.5538,39.682524,30.700001
10/12/2015,13.642325,108.236443,70.763244,40.015989,30.889999
10/9/2015,13.633219,108.740775,70.906048,40.035045,30.799999
10/8/2015,13.651432,106.199737,70.829885,39.996934,30.49
10/7/2015,13.432864,107.441158,70.182515,39.558664,30.030001
10/6/2015,13.032155,107.955183,69.877871,39.025116,29.790001
10/5/2015,12.92287,107.441158,69.706508,39.072754,29.84
10/2/2015,12.74073,107.053212,68.944893,38.482042,29.629999
10/1/2015,12.449305,106.277328,68.497445,37.919913,29.209999
9/30/2015,12.358235,106.975629,68.48793,38.224796,28.969999
9/29/2015,11.975739,105.772996,68.811612,37.786527,28.709999
9/28/2015,11.948419,109.05113,68.326082,37.662667,28.77
9/25/2015,12.321807,111.25271,69.182897,37.748416,29.4
9/24/2015,12.431091,111.533971,67.93576,37.30062,29.18
9/23/2015,12.458412,110.874465,66.888545,36.92904,29.18
9/22/2015,12.676981,109.982195,66.821905,36.957625,29.27
9/21/2015,13.041262,111.73764,67.259831,37.338728,29.809999
9/18/2015,13.004834,110.030684,66.583901,37.138649,29.700001
9/17/2015,13.296259,110.486519,66.869501,37.519755,30.58
9/16/2015,13.332687,112.901478,66.73622,37.30062,31.08
9/15/2015,13.032155,112.775391,66.117409,36.681324,30.559999
9/14/2015,12.549482,111.834625,64.794109,36.300217,30.190001
9/11/2015,12.485733,110.76778,65.136835,36.328803,30.15
9/10/2015,12.503947,109.177209,65.041635,36.290689,30.51
9/9/2015,12.321807,106.830148,65.193961,36.177341,30.75
9/8/2015,12.449305,108.925043,66.621982,36.74409,31.059999
9/4/2015,12.349128,105.976666,65.460524,36.385149,30.26
9/3/2015,12.604125,107.043519,66.574379,36.989679,30.950001
9/2/2015,12.631446,108.954138,66.460134,36.74409,30.59
9/1/2015,12.494841,104.473386,65.593805,36.602402,29.629999
8/31/2015,12.631446,109.361485,67.278868,37.140811,30.48
8/28/2015,12.513054,109.87551,67.792956,37.263607,31.09
8/27/2015,12.349128,109.516659,68.050004,37.093583,30.629999
8/26/2015,12.030382,106.384013,67.497834,36.58351,30.370001
8/25/2015,11.748064,100.613338,65.136835,35.884524,29.82
8/24/2015,12.012168,100.012029,65.822286,36.252909,29.84
8/21/2015,12.622338,102.572461,68.392723,37.339172,30.35
8/20/2015,13.141439,109.2548,70.3634,38.302642,30.83
8/19/2015,13.451078,111.543671,70.563322,38.519894,32.169998
8/18/2015,13.50572,112.988761,71.524852,39.011075,32.380001
8/17/2015,13.369115,113.628873,71.905659,39.058303,32.299999
8/14/2015,13.460185,112.465036,71.991344,38.963847,32.330002
8/13/2015,13.396436,111.679451,72.143663,38.822159,32.310001
8/12/2015,13.369115,111.766735,72.724392,38.973291,32.200001
8/11/2015,13.387329,110.069479,72.562551,39.1811,32
8/10/2015,13.651432,116.111714,72.71487,39.370016,32.48
8/7/2015,13.478399,112.038295,71.858063,39.455028,32.380001
8/6/2015,13.50572,111.66005,72.105581,39.596713,32.360001
8/5/2015,13.478399,111.417594,72.13414,39.785629,32.59
8/4/2015,13.578576,110.683819,72.267429,39.530593,32.290001
8/3/2015,13.605897,114.352685,72.733914,39.237776,32.200001
7/31/2015,13.50572,117.113989,73.019514,38.803271,31.969999
7/30/2015,13.75161,118.147063,73.676407,38.312089,31.67
7/29/2015,13.851787,118.745662,76.751417,38.340426,32.119999
7/28/2015,13.369115,119.122203,76.380132,38.302642,31.67
7/27/2015,13.116697,118.533253,76.132606,38.293197,31.620001
7/24/2015,12.972459,120.203555,76.43725,38.198738,31.51
7/23/2015,13.170786,120.840782,76.827573,38.57657,31.940001
7/22/2015,12.999504,120.898709,76.951339,38.633246,32.07
7/21/2015,13.080638,126.23787,77.081761,38.907171,32.419998
