Date,Sirius XM Holdings Inc. (SIRI),Comcast Corporation (CMCSA),McDonald's Corporation (MCD),FedEx Corporation (FDX),"Wal-Mart Stores, Inc. (WMT)"
3/29/2016,3.922208,29.74439,120.288708,161.859835,66.113554
3/28/2016,3.892344,29.421241,119.512461,161.065379,66.201022
3/24/2016,3.852524,29.38207,119.6289,161.522181,66.0844
3/23/2016,3.842569,29.00996,120.502176,161.502331,65.559611
3/22/2016,3.902299,29.313524,120.143161,162.286846,65.958065
3/21/2016,3.892344,29.298836,120.133455,163.399075,66.055246
3/18/2016,3.932163,29.259665,120.395442,162.574844,65.063976
3/17/2016,3.922208,29.74439,119.502763,160.221267,65.549891
3/16/2016,3.932163,29.333109,119.852066,143.269638,66.07468
3/15/2016,3.882389,29.083404,119.764742,142.077962,66.171861
3/14/2016,3.902299,29.000168,119.250482,142.842612,65.46243
3/11/2016,3.892344,28.965894,117.940572,143.418592,65.27778
3/10/2016,3.862479,28.579095,116.417193,140.628079,65.511024
3/9/2016,3.932163,28.779838,116.087286,140.747239,65.627639
3/8/2016,3.862479,28.539926,114.903512,141.292467,65.63736
3/7/2016,3.882389,28.86797,113.671228,143.820329,65.492656
3/4/2016,3.892344,29.249875,113.700336,142.660489,64.421852
3/3/2016,3.852524,29.338005,113.224889,142.610921,63.804452
3/2/2016,3.80275,29.068714,114.961736,141.03473,63.87198
3/1/2016,3.743021,28.995272,115.320744,140.152458,64.113152
2/29/2016,3.703202,28.265738,113.710041,135.691529,63.997387
2/26/2016,3.673337,28.35387,113.583897,136.187188,64.161389
2/25/2016,3.673337,28.657434,113.991434,134.799335,65.63736
2/24/2016,3.583744,28.593784,112.729887,132.330964,64.749849
2/23/2016,3.593698,28.172711,112.575809,132.648178,64.13245
2/22/2016,3.683292,28.471379,113.317323,134.214461,63.312459
2/19/2016,3.603653,28.280426,112.219493,128.633339,62.376718
2/18/2016,3.563834,28.064994,112.835819,130.189715,61.855786
2/17/2016,3.553879,28.25105,114.251444,131.934428,63.775513
2/16/2016,3.47424,28.143333,114.77147,130.962941,63.572929
2/12/2016,3.444376,27.800599,113.567708,127.483423,63.843041
2/11/2016,3.364737,27.438282,112.412099,123.339708,63.013408
2/10/2016,3.384647,27.32567,113.192135,126.531751,63.466813
